age,account,if_marital,if_default,if_housing,if_loan,if_active_selling,duration,label,occupation_cleaner,occupation_management,occupation_own-business,occupation_production,occupation_retired,occupation_services,occupation_student,occupation_technician,occupation_unemployed,education_primary,education_secondary,education_unknown
41,431,no,no,no,no,no,128,0,no,no,no,no,no,no,no,yes,no,no,no,no
36,7957,yes,no,no,no,no,288,0,no,no,no,no,no,no,no,yes,no,no,yes,no
40,1082,no,no,no,no,yes,264,0,no,no,no,no,no,no,no,yes,no,no,no,no
35,0,no,no,no,yes,no,370,0,no,yes,no,no,no,no,no,no,no,no,no,no
34,449,no,no,no,no,no,765,0,no,no,no,no,no,no,no,yes,no,no,no,no
57,0,yes,no,yes,no,yes,92,0,no,no,no,no,no,no,no,no,no,no,yes,no
35,331,no,no,yes,no,no,30,0,no,yes,no,no,no,no,no,no,no,no,no,no
48,635,no,no,no,no,no,236,0,no,yes,no,no,no,no,no,no,no,no,yes,no
42,-193,no,no,yes,no,no,1805,0,no,no,no,no,no,yes,no,no,no,no,yes,no
36,854,yes,no,yes,no,yes,130,0,no,no,no,no,no,no,no,no,no,no,yes,no
26,136,no,no,no,no,yes,120,1,no,no,no,no,no,yes,no,no,no,no,yes,no
30,160,yes,no,yes,no,no,83,0,no,yes,no,no,no,no,no,no,no,no,no,no
42,6445,yes,no,yes,no,no,20,0,no,no,no,no,no,no,no,no,no,no,yes,no
41,-15,yes,no,yes,no,yes,33,0,no,no,no,no,no,no,no,yes,no,no,no,no
29,0,no,no,yes,no,no,331,0,no,yes,no,no,no,no,no,no,no,no,no,no
24,2984,no,no,yes,no,yes,935,1,no,no,yes,no,no,no,no,no,no,no,no,no
48,1290,no,no,no,no,yes,58,0,no,no,no,no,no,no,no,yes,no,no,yes,no
46,0,yes,no,yes,no,no,161,0,no,no,no,no,no,no,no,yes,no,no,yes,no
65,90,no,no,yes,no,yes,416,1,no,yes,no,no,no,no,no,no,no,no,no,no
32,257,no,no,yes,no,no,183,0,no,no,no,no,no,no,no,yes,no,no,no,no
38,968,yes,no,yes,no,yes,272,0,no,no,no,no,no,yes,no,no,no,no,yes,no
47,4040,yes,no,no,no,no,53,0,no,no,no,yes,no,no,no,no,no,yes,no,no
44,38,no,no,yes,no,no,157,0,no,no,no,yes,no,no,no,no,no,yes,no,no
55,298,yes,no,yes,no,no,144,0,no,no,yes,no,no,no,no,no,no,yes,no,no
26,622,yes,no,yes,no,no,471,0,no,no,no,yes,no,no,no,no,no,no,yes,no
29,53,yes,no,no,no,yes,128,0,no,no,no,no,no,no,no,no,yes,no,no,no
27,806,yes,no,yes,no,no,768,0,no,no,no,no,no,no,no,yes,no,no,yes,no
30,397,no,no,yes,no,no,536,0,no,no,no,yes,no,no,no,no,no,no,yes,no
31,-106,yes,no,yes,no,no,258,0,no,no,no,no,no,no,no,no,no,no,yes,no
38,2442,no,no,no,no,yes,161,0,no,no,no,no,no,no,no,yes,no,no,yes,no
55,4809,yes,no,yes,no,no,223,0,no,no,no,no,no,no,no,no,yes,no,no,no
55,529,yes,no,yes,no,no,137,0,no,no,no,no,no,yes,no,no,no,no,yes,no
54,140,yes,no,no,no,no,473,1,no,no,no,no,no,no,no,no,no,no,no,yes
37,11387,yes,no,no,no,yes,153,0,no,no,yes,no,no,no,no,no,no,no,no,no
34,804,yes,no,yes,no,no,256,0,no,no,no,no,no,no,no,no,no,no,yes,no
26,4,yes,no,yes,no,no,201,0,no,no,no,no,no,yes,no,no,no,no,yes,no
47,2,yes,no,no,yes,no,71,0,no,no,no,no,no,yes,no,no,no,no,yes,no
42,386,yes,no,yes,no,yes,168,0,no,yes,no,no,no,no,no,no,no,no,no,no
60,804,yes,no,no,no,no,36,0,no,no,no,no,no,no,no,yes,no,no,no,no
27,0,no,no,yes,no,no,35,0,no,no,no,no,no,yes,no,no,no,no,yes,no
45,424,yes,no,yes,yes,no,216,0,no,yes,no,no,no,no,no,no,no,no,yes,no
40,191,yes,no,yes,no,no,806,0,no,no,yes,no,no,no,no,no,no,no,no,no
31,585,yes,no,yes,yes,no,272,0,no,no,no,no,no,yes,no,no,no,no,no,no
36,7171,no,no,yes,no,no,216,0,yes,no,no,no,no,no,no,no,no,no,yes,no
28,930,yes,no,yes,yes,yes,112,0,no,no,no,no,no,no,no,yes,no,no,yes,no
34,1974,no,no,no,no,yes,355,1,no,no,no,no,no,no,no,no,yes,no,no,no
35,1227,no,no,no,no,no,1005,1,no,no,no,no,no,no,no,yes,no,no,yes,no
31,63,no,no,no,no,no,161,0,no,yes,no,no,no,no,no,no,no,no,no,no
30,183,no,no,yes,no,yes,610,1,no,no,no,yes,no,no,no,no,no,no,yes,no
51,1146,no,no,yes,yes,no,458,0,no,yes,no,no,no,no,no,no,no,no,no,no
57,1335,yes,no,no,no,no,902,0,no,no,no,no,yes,no,no,no,no,yes,no,no
32,389,yes,no,yes,no,no,129,0,no,no,no,no,no,no,no,no,no,no,yes,no
31,-405,no,yes,yes,yes,yes,846,0,no,no,yes,no,no,no,no,no,no,no,no,no
57,4185,yes,no,yes,no,no,394,0,no,yes,no,no,no,no,no,no,no,no,no,no
42,0,no,no,no,no,no,33,0,no,no,no,no,no,no,no,yes,no,no,yes,no
59,5,no,no,no,yes,no,67,0,no,no,no,no,no,no,no,no,no,no,yes,no
41,879,no,no,no,yes,no,60,0,no,no,no,no,no,no,no,yes,no,no,yes,no
43,620,no,no,no,yes,yes,155,0,no,no,no,no,no,yes,no,no,no,no,yes,no
27,293,yes,no,yes,no,no,70,0,no,no,no,no,no,no,no,no,yes,no,yes,no
35,627,no,no,yes,no,no,298,0,no,no,no,no,no,no,no,no,no,no,yes,no
46,-337,yes,no,yes,no,yes,112,0,no,no,no,no,no,no,no,yes,no,no,yes,no
34,173,yes,no,no,no,yes,36,0,no,no,yes,no,no,no,no,no,no,no,yes,no
30,0,yes,no,no,no,yes,152,0,no,yes,no,no,no,no,no,no,no,no,no,no
58,855,yes,no,no,no,no,81,0,no,no,no,no,no,no,no,no,no,no,yes,no
36,-69,no,no,yes,no,no,90,0,no,no,no,no,no,no,no,no,no,no,no,yes
46,2199,yes,no,no,no,yes,146,0,no,yes,no,no,no,no,no,no,no,no,no,no
26,-385,yes,no,yes,no,no,163,0,no,no,no,no,no,no,no,yes,no,no,no,no
59,0,yes,no,no,no,yes,1009,0,no,no,no,no,yes,no,no,no,no,yes,no,no
51,1435,yes,no,no,no,yes,587,1,no,no,no,no,yes,no,no,no,no,no,yes,no
45,184,no,no,yes,yes,no,89,0,no,no,no,no,no,yes,no,no,no,no,yes,no
33,-132,yes,no,yes,yes,no,170,0,no,no,no,yes,no,no,no,no,no,yes,no,no
52,146,no,no,yes,no,yes,93,0,no,no,no,no,no,yes,no,no,no,yes,no,no
31,163,no,no,no,no,no,707,1,no,no,no,no,no,no,no,no,yes,yes,no,no
51,1315,yes,no,no,no,no,303,0,no,no,no,no,no,no,no,yes,no,no,no,no
63,708,yes,no,no,no,no,168,0,no,no,no,no,yes,no,no,no,no,no,yes,no
49,1269,yes,no,yes,no,no,355,0,no,no,no,no,no,no,no,yes,no,no,yes,no
55,3546,yes,no,yes,yes,yes,588,0,no,no,no,no,no,yes,no,no,no,no,yes,no
86,1817,yes,no,no,no,no,272,0,no,no,no,no,yes,no,no,no,no,yes,no,no
35,270,no,no,yes,no,yes,216,0,no,no,no,yes,no,no,no,no,no,no,yes,no
43,508,yes,no,yes,no,yes,200,0,no,no,no,no,no,yes,no,no,no,no,yes,no
26,3154,no,no,yes,yes,no,350,0,no,no,no,no,no,no,no,yes,no,no,no,no
58,96,yes,no,no,no,yes,850,1,no,yes,no,no,no,no,no,no,no,no,no,no
42,1752,yes,no,yes,no,no,19,0,no,no,no,yes,no,no,no,no,no,yes,no,no
26,50,no,no,no,no,no,160,0,no,no,yes,no,no,no,no,no,no,no,no,no
25,304,no,no,no,no,no,523,0,no,no,no,no,no,no,no,no,no,no,yes,no
50,1859,yes,no,no,no,no,85,0,no,yes,no,no,no,no,no,no,no,no,no,no
33,95,yes,no,yes,no,yes,155,0,no,no,no,no,no,no,no,no,no,no,yes,no
49,3,yes,no,no,no,no,118,0,yes,no,no,no,no,no,no,no,no,no,yes,no
30,0,yes,no,no,no,no,142,0,no,yes,no,no,no,no,no,no,no,no,no,no
51,3962,no,no,yes,no,yes,267,0,no,no,no,no,no,no,no,yes,no,no,no,no
30,237,no,no,yes,no,yes,39,0,no,no,no,no,no,no,no,yes,no,no,yes,no
33,1388,yes,no,yes,no,yes,280,0,no,yes,no,no,no,no,no,no,no,no,no,no
53,273,yes,no,yes,no,yes,248,0,no,no,no,yes,no,no,no,no,no,yes,no,no
42,1533,no,no,no,yes,yes,86,0,no,no,no,no,no,no,no,yes,no,no,yes,no
46,1353,yes,no,no,no,no,528,1,no,no,no,no,no,no,no,yes,no,no,yes,no
52,3016,yes,no,yes,yes,yes,142,0,no,no,no,no,no,yes,no,no,no,yes,no,no
61,985,yes,no,no,no,no,998,1,no,yes,no,no,no,no,no,no,no,no,yes,no
44,612,yes,no,yes,yes,yes,131,0,no,no,no,yes,no,no,no,no,no,yes,no,no
46,57,yes,no,no,no,yes,796,1,no,no,no,no,no,no,no,yes,no,no,yes,no
31,831,no,no,yes,no,no,106,0,no,no,no,no,no,yes,no,no,no,no,yes,no
57,3058,no,no,yes,no,yes,268,0,no,no,no,no,no,no,no,no,no,no,yes,no
26,-16,yes,no,yes,no,yes,1036,0,no,no,no,no,no,yes,no,no,no,no,yes,no
45,10,yes,no,no,no,no,133,0,no,yes,no,no,no,no,no,no,no,no,no,no
38,-1350,yes,no,yes,yes,no,96,0,no,no,no,no,no,no,no,yes,no,no,no,no
51,9,no,no,no,no,no,371,1,no,no,no,no,no,yes,no,no,no,no,yes,no
56,1947,yes,no,no,no,no,441,0,no,no,no,no,yes,no,no,no,no,yes,no,no
57,501,yes,no,yes,yes,no,59,0,yes,no,no,no,no,no,no,no,no,yes,no,no
44,0,no,no,yes,yes,no,297,0,no,yes,no,no,no,no,no,no,no,no,no,no
31,10,yes,no,yes,yes,no,161,0,no,no,yes,no,no,no,no,no,no,no,yes,no
24,0,no,no,yes,no,yes,204,0,no,no,no,yes,no,no,no,no,no,no,yes,no
44,-692,yes,no,no,yes,no,52,0,no,yes,no,no,no,no,no,no,no,no,no,no
42,0,no,no,no,no,no,656,0,no,no,no,no,no,no,no,yes,no,no,yes,no
47,357,no,no,yes,yes,yes,134,0,no,no,no,no,no,no,no,no,no,yes,no,no
51,1348,no,no,yes,no,no,9,0,no,yes,no,no,no,no,no,no,no,no,no,no
34,0,yes,no,no,no,no,201,0,no,no,no,no,no,no,no,no,yes,no,no,no
36,2309,yes,no,yes,no,no,268,0,no,yes,no,no,no,no,no,no,no,no,no,no
48,5908,yes,no,no,no,no,192,0,yes,no,no,no,no,no,no,no,no,yes,no,no
43,572,no,no,no,no,no,80,0,no,no,no,no,no,no,no,yes,no,no,no,yes
42,-150,yes,no,no,yes,no,249,0,no,no,no,no,no,no,no,no,no,no,yes,no
32,163,yes,no,no,no,no,132,0,yes,no,no,no,no,no,no,no,no,yes,no,no
46,70,yes,no,yes,no,no,229,1,no,no,no,no,no,no,no,no,no,no,yes,no
36,106,yes,no,yes,no,no,171,0,no,no,no,yes,no,no,no,no,no,yes,no,no
40,-164,yes,no,no,no,yes,87,0,no,no,yes,no,no,no,no,no,no,no,no,no
34,218,yes,no,no,no,no,109,0,no,no,no,no,no,no,no,yes,no,no,no,no
46,946,yes,no,yes,no,no,295,0,no,yes,no,no,no,no,no,no,no,no,no,no
49,-301,yes,no,yes,no,no,187,0,no,no,no,no,no,yes,no,no,no,no,yes,no
37,239,no,no,yes,no,no,140,0,no,no,no,no,no,yes,no,no,no,no,yes,no
28,2253,no,no,yes,no,no,906,0,no,yes,no,no,no,no,no,no,no,no,no,no
32,449,no,no,no,no,no,231,0,no,no,no,no,no,no,no,yes,no,no,no,no
31,152,yes,no,yes,yes,yes,831,1,no,no,no,yes,no,no,no,no,no,no,yes,no
75,1093,yes,no,no,no,yes,369,0,no,no,no,no,no,no,no,no,no,no,no,yes
36,649,no,no,no,no,no,237,0,no,yes,no,no,no,no,no,no,no,no,no,no
44,0,yes,no,no,no,no,175,0,no,no,no,no,no,no,no,no,yes,no,yes,no
54,2625,no,no,yes,no,no,67,0,no,yes,no,no,no,no,no,no,no,no,no,no
36,3763,yes,no,yes,no,yes,83,0,no,no,no,no,no,no,no,yes,no,no,yes,no
56,1016,no,no,yes,no,no,184,0,no,yes,no,no,no,no,no,no,no,no,no,no
44,991,yes,no,no,no,yes,194,0,no,yes,no,no,no,no,no,no,no,no,yes,no
44,1310,yes,no,yes,no,yes,290,0,no,no,yes,no,no,no,no,no,no,no,yes,no
52,-477,no,no,no,no,no,37,0,no,no,no,yes,no,no,no,no,no,no,yes,no
33,1308,no,no,no,no,no,194,0,no,yes,no,no,no,no,no,no,no,no,no,no
39,572,no,no,yes,no,no,153,0,no,yes,no,no,no,no,no,no,no,no,no,no
58,2,yes,no,yes,yes,no,282,0,no,no,no,no,no,no,no,no,no,no,yes,no
31,196,yes,no,no,no,yes,248,0,no,no,no,yes,no,no,no,no,no,yes,no,no
63,70,no,no,no,no,no,82,0,no,no,no,no,yes,no,no,no,no,no,no,no
45,171,yes,no,yes,no,yes,539,0,no,no,no,no,no,no,no,no,no,no,yes,no
48,2803,yes,no,yes,no,no,30,0,no,yes,no,no,no,no,no,no,no,yes,no,no
33,0,yes,no,yes,no,yes,223,0,no,yes,no,no,no,no,no,no,no,no,no,no
55,149,yes,no,no,yes,no,41,0,no,yes,no,no,no,no,no,no,no,no,no,no
30,4,yes,no,no,no,no,172,0,no,no,no,no,no,no,no,no,no,no,yes,no
26,116,yes,no,no,no,no,319,0,no,no,no,no,no,yes,no,no,no,no,yes,no
34,1103,no,no,yes,no,yes,89,0,no,no,no,no,no,no,no,no,no,no,yes,no
31,732,yes,no,yes,no,yes,542,0,no,yes,no,no,no,no,no,no,no,no,no,no
34,13683,no,no,yes,no,no,115,0,no,no,no,yes,no,no,no,no,no,no,yes,no
56,1631,yes,no,yes,no,no,376,0,no,yes,no,no,no,no,no,no,no,no,no,no
51,4711,yes,no,no,no,yes,253,0,no,no,yes,no,no,no,no,no,no,yes,no,no
31,3588,no,no,no,no,no,64,0,no,no,no,no,no,no,no,yes,no,no,yes,no
50,1205,no,no,yes,no,no,82,0,no,no,no,no,no,yes,no,no,no,no,yes,no
34,-76,yes,no,yes,no,yes,170,0,no,no,no,yes,no,no,no,no,no,no,yes,no
36,62,no,no,yes,no,yes,566,1,no,yes,no,no,no,no,no,no,no,no,no,no
53,1777,yes,no,yes,no,no,796,1,no,no,no,yes,no,no,no,no,no,no,yes,no
46,311,yes,no,yes,yes,no,232,0,no,no,no,no,no,yes,no,no,no,no,yes,no
35,4635,yes,no,yes,no,yes,148,0,no,no,no,yes,no,no,no,no,no,no,yes,no
43,11754,yes,no,no,no,no,352,0,no,yes,no,no,no,no,no,no,no,no,no,no
52,2557,yes,no,no,no,no,134,1,no,no,no,no,no,no,no,yes,no,no,no,no
45,167,no,no,no,no,no,97,0,no,no,no,no,no,no,no,yes,no,no,yes,no
32,1138,no,no,no,no,no,214,1,no,no,no,no,no,no,yes,no,no,no,no,no
52,14,yes,no,no,yes,no,55,0,no,no,no,no,no,yes,no,no,no,yes,no,no
27,3,no,no,yes,yes,yes,506,0,no,yes,no,no,no,no,no,no,no,no,no,no
46,967,yes,no,no,no,no,248,0,no,no,no,no,no,no,no,yes,no,no,yes,no
30,882,yes,no,no,no,no,102,0,no,yes,no,no,no,no,no,no,no,no,no,no
29,365,no,no,yes,yes,yes,72,0,no,no,no,yes,no,no,no,no,no,yes,no,no
50,-253,yes,no,no,no,yes,43,0,no,no,no,yes,no,no,no,no,no,no,yes,no
34,932,yes,no,yes,no,yes,218,0,no,no,no,no,no,no,no,yes,no,no,no,no
25,292,no,no,yes,yes,no,1027,1,no,no,no,yes,no,no,no,no,no,yes,no,no
29,2305,yes,no,no,no,no,82,0,no,no,yes,no,no,no,no,no,no,no,no,no
36,301,yes,no,no,no,yes,333,0,no,no,no,no,no,yes,no,no,no,no,no,no
47,1990,yes,no,yes,yes,no,108,0,no,no,no,no,no,no,no,yes,no,no,yes,no
58,826,yes,no,no,no,yes,885,1,no,no,no,no,no,no,no,no,no,no,yes,no
26,3466,no,no,no,no,no,275,1,no,no,no,no,no,no,no,no,yes,no,no,no
38,245,no,no,yes,yes,no,251,0,no,no,no,no,no,no,no,no,no,no,yes,no
49,4697,yes,no,yes,no,yes,66,0,no,no,no,no,no,yes,no,no,no,no,yes,no
23,1587,no,no,yes,yes,no,502,0,no,no,no,no,no,no,no,yes,no,no,yes,no
32,1331,yes,no,yes,no,no,286,0,no,no,no,yes,no,no,no,no,no,no,yes,no
35,2789,yes,no,yes,no,no,256,0,no,no,no,no,no,no,no,yes,no,no,yes,no
60,5798,yes,no,yes,no,no,58,0,no,no,no,yes,no,no,no,no,no,yes,no,no
32,1536,yes,no,no,no,no,289,1,no,no,no,no,no,no,yes,no,no,no,yes,no
30,476,yes,no,no,no,no,99,0,no,no,no,no,no,no,no,no,yes,no,yes,no
42,2249,yes,no,yes,no,yes,228,0,no,no,yes,no,no,no,no,no,no,no,no,no
37,466,yes,no,yes,no,no,92,0,no,yes,no,no,no,no,no,no,no,no,no,no
37,1558,yes,no,no,no,no,499,0,yes,no,no,no,no,no,no,no,no,no,yes,no
26,494,no,no,no,no,yes,237,0,no,no,no,yes,no,no,no,no,no,no,yes,no
35,0,yes,no,yes,no,no,343,0,no,no,no,no,no,yes,no,no,no,no,yes,no
45,115,yes,no,no,no,no,209,0,no,no,no,yes,no,no,no,no,no,no,yes,no
43,1429,yes,no,yes,no,yes,1030,1,no,yes,no,no,no,no,no,no,no,no,no,no
54,1545,no,no,yes,no,no,148,0,no,no,no,yes,no,no,no,no,no,no,no,yes
39,484,yes,no,no,yes,yes,61,0,no,no,no,no,no,no,no,yes,no,no,yes,no
58,4606,yes,no,no,no,no,601,0,no,yes,no,no,no,no,no,no,no,no,no,no
49,-454,yes,no,yes,no,yes,558,1,no,no,no,yes,no,no,no,no,no,no,yes,no
35,1723,no,no,yes,no,yes,862,1,no,yes,no,no,no,no,no,no,no,no,no,no
31,-307,no,no,yes,yes,no,91,0,no,yes,no,no,no,no,no,no,no,no,no,no
30,768,no,no,no,yes,no,749,0,no,no,no,no,no,no,no,yes,no,no,yes,no
37,0,yes,no,yes,no,no,148,0,no,yes,no,no,no,no,no,no,no,no,no,no
28,1925,no,no,no,no,yes,147,0,no,no,no,no,no,no,yes,no,no,no,yes,no
48,2091,no,no,no,no,yes,94,0,no,no,no,no,no,no,no,no,no,no,yes,no
38,3091,yes,no,yes,no,no,13,0,no,no,no,no,no,no,no,no,no,no,yes,no
49,1884,no,no,yes,no,yes,43,0,no,no,no,no,no,yes,no,no,no,no,yes,no
23,1506,no,no,no,no,no,131,1,no,yes,no,no,no,no,no,no,no,no,no,no
31,2,yes,no,yes,no,yes,371,0,no,no,no,yes,no,no,no,no,no,no,yes,no
35,73,yes,no,no,no,no,134,0,no,no,no,yes,no,no,no,no,no,no,yes,no
47,1452,yes,no,yes,yes,no,166,0,no,no,no,yes,no,no,no,no,no,yes,no,no
54,198,no,no,yes,yes,yes,120,0,no,no,no,no,no,no,no,yes,no,no,yes,no
36,-342,yes,no,yes,no,no,170,0,no,no,no,no,no,no,no,yes,no,no,yes,no
34,1171,no,no,yes,no,yes,129,0,no,yes,no,no,no,no,no,no,no,no,no,no
33,340,no,no,no,no,no,348,0,no,no,no,no,no,no,no,yes,no,no,no,no
28,2736,no,no,no,no,yes,705,1,no,no,no,no,no,no,no,no,no,no,no,yes
31,1331,yes,no,no,no,yes,268,1,no,yes,no,no,no,no,no,no,no,no,no,no
34,239,no,no,no,no,no,699,0,no,no,no,no,no,yes,no,no,no,no,no,no
32,287,no,no,yes,no,no,59,0,no,no,no,no,no,no,no,yes,no,no,yes,no
36,86,no,no,no,no,no,48,0,no,yes,no,no,no,no,no,no,no,no,no,no
45,3493,yes,no,yes,no,yes,498,0,no,no,no,no,no,no,no,no,no,no,yes,no
31,166,no,no,yes,no,yes,227,0,no,no,no,no,no,yes,no,no,no,no,yes,no
52,-240,yes,no,no,no,no,392,0,no,no,no,no,no,no,no,yes,no,no,yes,no
32,1134,no,no,no,no,no,85,0,no,yes,no,no,no,no,no,no,no,no,no,no
22,361,no,no,no,no,no,140,0,no,no,no,no,no,yes,no,no,no,no,yes,no
29,0,no,no,yes,no,no,16,0,no,no,no,yes,no,no,no,no,no,no,yes,no
53,65,yes,no,no,no,no,41,0,no,no,no,no,no,no,no,yes,no,no,yes,no
