country,article,sales,regular_price,current_price,ratio,retailweek,promo1,promo2,customer_id,article,productgroup,category,cost,style,sizes,gender,rgb_r_main_col,rgb_g_main_col,rgb_b_main_col,rgb_r_sec_col,rgb_g_sec_col,rgb_b_sec_col,label
Austria,EF2771,72,28.95,18.95,0.654576856649395,2017-02-26,0,0,4943.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,0
Austria,LX1494,18,11.95,5.95,0.497907949790795,2016-12-25,0,0,5492.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,0
Austria,LX1494,18,11.95,5.95,0.497907949790795,2016-12-25,0,0,5492.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,0
Austria,LX1494,18,11.95,5.95,0.497907949790795,2016-12-25,0,0,5492.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
Austria,LX1494,18,11.95,5.95,0.497907949790795,2016-12-25,0,0,5492.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,0
Austria,LX1494,18,11.95,5.95,0.497907949790795,2016-12-25,0,0,5492.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,0
Austria,LX1494,18,11.95,5.95,0.497907949790795,2016-12-25,0,0,5492.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,0
Austria,LX1494,18,11.95,5.95,0.497907949790795,2016-12-25,0,0,5492.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,0
Austria,LX1494,18,11.95,5.95,0.497907949790795,2016-12-25,0,0,5492.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,0
Austria,LX1494,18,11.95,5.95,0.497907949790795,2016-12-25,0,0,5492.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,0
Austria,LX1494,18,11.95,5.95,0.497907949790795,2016-12-25,0,0,5492.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,0
Germany,VF6733,1,63.95,57.95,0.9061767005473029,2017-02-12,0,0,999.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,0
Germany,VF6733,1,63.95,57.95,0.9061767005473029,2017-02-12,0,0,999.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,0
Germany,VF6733,1,63.95,57.95,0.9061767005473029,2017-02-12,0,0,999.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,1
Germany,VF6733,1,63.95,57.95,0.9061767005473029,2017-02-12,0,0,999.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,1
Germany,VF6733,1,63.95,57.95,0.9061767005473029,2017-02-12,0,0,999.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,1
Germany,VF6733,1,63.95,57.95,0.9061767005473029,2017-02-12,0,0,999.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,1
Germany,VF6733,1,63.95,57.95,0.9061767005473029,2017-02-12,0,0,999.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,0
Germany,VF6733,1,63.95,57.95,0.9061767005473029,2017-02-12,0,0,999.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,0
Germany,VF6733,1,63.95,57.95,0.9061767005473029,2017-02-12,0,0,999.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,0
Germany,VF6733,1,63.95,57.95,0.9061767005473029,2017-02-12,0,0,999.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,1
Austria,YK5786,66,6.95,3.95,0.5683453237410071,2017-03-19,0,0,5503.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,0
Austria,YK5786,66,6.95,3.95,0.5683453237410071,2017-03-19,0,0,5503.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,0
Austria,YK5786,66,6.95,3.95,0.5683453237410071,2017-03-19,0,0,5503.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
Austria,YK5786,66,6.95,3.95,0.5683453237410071,2017-03-19,0,0,5503.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,0
Austria,YK5786,66,6.95,3.95,0.5683453237410071,2017-03-19,0,0,5503.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,0
Austria,YK5786,66,6.95,3.95,0.5683453237410071,2017-03-19,0,0,5503.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,0
Austria,YK5786,66,6.95,3.95,0.5683453237410071,2017-03-19,0,0,5503.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,0
Austria,YK5786,66,6.95,3.95,0.5683453237410071,2017-03-19,0,0,5503.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,0
Austria,YK5786,66,6.95,3.95,0.5683453237410071,2017-03-19,0,0,5503.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,0
Austria,YK5786,66,6.95,3.95,0.5683453237410071,2017-03-19,0,0,5503.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,1
France,CX1431,3,23.95,23.95,1.0,2015-02-08,0,0,3683.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,0
France,CX1431,3,23.95,23.95,1.0,2015-02-08,0,0,3683.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,0
France,CX1431,3,23.95,23.95,1.0,2015-02-08,0,0,3683.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
France,CX1431,3,23.95,23.95,1.0,2015-02-08,0,0,3683.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,0
France,CX1431,3,23.95,23.95,1.0,2015-02-08,0,0,3683.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,1
France,CX1431,3,23.95,23.95,1.0,2015-02-08,0,0,3683.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,1
France,CX1431,3,23.95,23.95,1.0,2015-02-08,0,0,3683.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,1
France,CX1431,3,23.95,23.95,1.0,2015-02-08,0,0,3683.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,0
France,CX1431,3,23.95,23.95,1.0,2015-02-08,0,0,3683.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,0
France,CX1431,3,23.95,23.95,1.0,2015-02-08,0,0,3683.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,1
Austria,TK4862,8,81.95,31.95,0.38987187309335003,2016-12-11,1,0,5807.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,0
Austria,TK4862,8,81.95,31.95,0.38987187309335003,2016-12-11,1,0,5807.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,0
Austria,TK4862,8,81.95,31.95,0.38987187309335003,2016-12-11,1,0,5807.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
Austria,TK4862,8,81.95,31.95,0.38987187309335003,2016-12-11,1,0,5807.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,0
Austria,TK4862,8,81.95,31.95,0.38987187309335003,2016-12-11,1,0,5807.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,0
Austria,TK4862,8,81.95,31.95,0.38987187309335003,2016-12-11,1,0,5807.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,0
Austria,TK4862,8,81.95,31.95,0.38987187309335003,2016-12-11,1,0,5807.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,0
Austria,TK4862,8,81.95,31.95,0.38987187309335003,2016-12-11,1,0,5807.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,0
Austria,TK4862,8,81.95,31.95,0.38987187309335003,2016-12-11,1,0,5807.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,0
Austria,TK4862,8,81.95,31.95,0.38987187309335003,2016-12-11,1,0,5807.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,0
Austria,ZM8792,61,111.95,64.95,0.5801697186243859,2017-01-01,0,0,5970.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,1
Austria,ZM8792,61,111.95,64.95,0.5801697186243859,2017-01-01,0,0,5970.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,0
Austria,ZM8792,61,111.95,64.95,0.5801697186243859,2017-01-01,0,0,5970.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
Austria,ZM8792,61,111.95,64.95,0.5801697186243859,2017-01-01,0,0,5970.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,0
Austria,ZM8792,61,111.95,64.95,0.5801697186243859,2017-01-01,0,0,5970.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,0
Austria,ZM8792,61,111.95,64.95,0.5801697186243859,2017-01-01,0,0,5970.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,0
Austria,ZM8792,61,111.95,64.95,0.5801697186243859,2017-01-01,0,0,5970.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,1
Austria,ZM8792,61,111.95,64.95,0.5801697186243859,2017-01-01,0,0,5970.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,0
Austria,ZM8792,61,111.95,64.95,0.5801697186243859,2017-01-01,0,0,5970.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,0
Austria,ZM8792,61,111.95,64.95,0.5801697186243859,2017-01-01,0,0,5970.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,0
France,LU3394,40,26.95,10.95,0.40630797773654903,2015-06-28,0,0,3136.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,0
France,LU3394,40,26.95,10.95,0.40630797773654903,2015-06-28,0,0,3136.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,0
France,LU3394,40,26.95,10.95,0.40630797773654903,2015-06-28,0,0,3136.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
France,LU3394,40,26.95,10.95,0.40630797773654903,2015-06-28,0,0,3136.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,0
France,LU3394,40,26.95,10.95,0.40630797773654903,2015-06-28,0,0,3136.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,0
France,LU3394,40,26.95,10.95,0.40630797773654903,2015-06-28,0,0,3136.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,0
France,LU3394,40,26.95,10.95,0.40630797773654903,2015-06-28,0,0,3136.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,0
France,LU3394,40,26.95,10.95,0.40630797773654903,2015-06-28,0,0,3136.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,0
France,LU3394,40,26.95,10.95,0.40630797773654903,2015-06-28,0,0,3136.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,0
France,LU3394,40,26.95,10.95,0.40630797773654903,2015-06-28,0,0,3136.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,0
Austria,IW7978,7,58.95,36.95,0.626802374893978,2016-07-10,0,0,5188.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,0
Austria,IW7978,7,58.95,36.95,0.626802374893978,2016-07-10,0,0,5188.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,0
Austria,IW7978,7,58.95,36.95,0.626802374893978,2016-07-10,0,0,5188.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
Austria,IW7978,7,58.95,36.95,0.626802374893978,2016-07-10,0,0,5188.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,0
Austria,IW7978,7,58.95,36.95,0.626802374893978,2016-07-10,0,0,5188.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,1
Austria,IW7978,7,58.95,36.95,0.626802374893978,2016-07-10,0,0,5188.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,0
Austria,IW7978,7,58.95,36.95,0.626802374893978,2016-07-10,0,0,5188.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,0
Austria,IW7978,7,58.95,36.95,0.626802374893978,2016-07-10,0,0,5188.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,0
Austria,IW7978,7,58.95,36.95,0.626802374893978,2016-07-10,0,0,5188.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,1
Austria,IW7978,7,58.95,36.95,0.626802374893978,2016-07-10,0,0,5188.0,AC7347,SHOES,FOOTBALL GENERIC,8.7,regular,"xxs,xs,s,m,l,xl,xxl",men,139,137,137,205,155,155,0
France,XG3252,14,153.95,96.95,0.629749918804807,2017-01-01,0,1,3688.0,OC6355,SHOES,TRAINING,13.29,slim,"xxs,xs,s,m,l,xl,xxl",women,205,104,57,255,187,255,1
France,XG3252,14,153.95,96.95,0.629749918804807,2017-01-01,0,1,3688.0,AP5568,SHORTS,TRAINING,2.29,regular,"xxs,xs,s,m,l,xl,xxl",women,188,238,104,255,187,255,0
France,XG3252,14,153.95,96.95,0.629749918804807,2017-01-01,0,1,3688.0,CB8861,HARDWARE ACCESSORIES,GOLF,1.7,regular,"xxs,xs,s,m,l,xl,xxl",women,205,173,0,255,187,255,0
France,XG3252,14,153.95,96.95,0.629749918804807,2017-01-01,0,1,3688.0,LI3529,SHOES,RUNNING,9.0,regular,"xxs,xs,s,m,l,xl,xxl",kids,205,140,149,164,211,238,0
France,XG3252,14,153.95,96.95,0.629749918804807,2017-01-01,0,1,3688.0,GG8661,SHOES,RELAX CASUAL,9.6,regular,"xxs,xs,s,m,l,xl,xxl",women,138,43,226,164,211,238,0
France,XG3252,14,153.95,96.95,0.629749918804807,2017-01-01,0,1,3688.0,TX1463,SWEATSHIRTS,TRAINING,4.2,wide,"xxs,xs,s,m,l,xl,xxl",women,79,148,205,164,211,238,0
France,XG3252,14,153.95,96.95,0.629749918804807,2017-01-01,0,1,3688.0,PC6383,SHOES,FOOTBALL GENERIC,9.9,wide,"xs,s,m,l,xl",unisex,139,26,26,205,155,155,0
France,XG3252,14,153.95,96.95,0.629749918804807,2017-01-01,0,1,3688.0,VT7698,SHOES,INDOOR,5.2,wide,"xxs,xs,s,m,l,xl,xxl",women,135,206,250,205,155,155,0
France,XG3252,14,153.95,96.95,0.629749918804807,2017-01-01,0,1,3688.0,FG2965,HARDWARE ACCESSORIES,RUNNING,1.29,slim,"xxs,xs,s,m,l,xl,xxl",women,181,181,181,205,155,155,1
